1.11067217,-2.10786174,1
-0.54983693,0.09426074,1
-0.03821980,1.88292735,1
0.05546068,-0.61389014,1
0.58701661,-1.20670891,1
0.54533054,0.25093038,1
-0.39274747,-0.62204193,1
-1.19047671,-1.87846665,1
-0.42400841,0.77724193,1
-0.71392600,1.58463967,1
-0.88831132,2.14082954,1
-0.69217812,0.09929735,1
1.43497843,1.23340117,1
-0.75764454,0.73857814,1
-1.11436123,-1.70586908,1
0.66116235,-1.72964201,1
-2.13807351,-0.06004767,1
1.38569071,1.21781585,1
-1.49505083,0.03728310,1
0.80287087,0.97385359,1
1.56073386,1.58624954,1
0.85629778,-1.42448302,1
0.03970234,-1.37991162,1
1.23307090,1.74207638,1
-2.00149509,0.83549699,1
-0.34281833,-0.47796210,1
-0.88910141,1.26342912,1
0.38320117,-0.11886736,1
0.41724717,1.01322181,1
-0.86951749,-0.79468048,1
2.97368926,3.64378113,2
3.76801988,1.86491061,2
0.11659318,0.94352136,2
0.68964157,3.91597442,2
1.22341640,2.98990506,2
2.30091540,0.41503844,2
3.76928442,3.80266305,2
1.94499174,3.42075841,2
0.92896842,3.36114186,2
5.00268232,2.78701314,2
1.01013322,1.87366094,2
2.07511565,2.26283532,2
1.91127792,3.67765486,2
2.31273688,3.91301605,2
1.93924556,2.39757650,2
3.12175396,2.54948002,2
1.70315395,1.15091460,2
0.42119932,3.53222620,2
2.76857452,0.94019131,2
2.16957599,2.92847899,2
0.33795355,2.09469158,2
3.68863079,0.40537017,2
2.63148787,3.19622459,2
-0.53322035,3.14207495,2
0.33796342,3.08007510,2
1.40296727,1.18412588,2
2.87393965,2.77766420,2
1.12539754,3.24039223,2
0.09884707,1.95221832,2
0.36878966,2.89036235,2
1.47580524,-1.63865961,3
1.92889397,-1.81909707,3
2.57407171,-1.32130056,3
2.19169388,-1.28519136,3
0.83584020,-2.33494628,3
2.68632968,-1.88335289,3
3.11015730,-0.48539083,3
3.70732809,-0.64661596,3
3.63937773,-0.40971678,3
0.53651693,-3.65545985,3
2.92948801,-0.38192863,3
0.81684824,-3.11329702,3
1.34323419,-1.77173211,3
1.10391912,-2.22608290,3
1.37542687,-2.22356934,3
0.67574630,-2.53787290,3
-0.20290286,-3.84203167,3
2.42100445,-1.97883133,3
1.03354125,-2.60420416,3
0.96378859,-2.94489872,3
-0.81976679,-5.44489858,3
1.95524687,-1.55297253,3
0.35049641,-3.18872905,3
2.49432325,-1.81161658,3
1.97607534,-1.06636100,3
0.59941899,-3.05125240,3
2.20755068,-1.67281089,3
1.99411952,-1.88263778,3
1.74866076,-2.96436719,3
1.41598381,-2.42342335,3
